# Creation Date: Tue Mar 17 15:46:45 2015
# Data from the EMEC Catalogue (Gruenthal, G. & Wahlstroem, R., 2012)
# Contact address: ggrue@gfz-potsdam.de
# For technical questions: lemgo@gfz-potsdam.de
------------------------------------------------------------------------------------------------
# Indices at original magnitudes M_orig: w for Mw or Mo, L for ML, S for MS, b for mb, d for Md.
# The focal depth is given in km.
------------------------------------------------------------------------------------------------
# Requested data:
# Coordinate Range Lat: 40.0/50.5 Lon: -10.0/10.5
# Time: 1000 - 2006
# File Format:
# year;month;day;hour;minute;latitude;longitude;depth;intensity;M_orig;type;Mw ;Mw_err;reference
------------------------------------------------------------------------------------------------
 1449 ;     ;   ;    ;      ;  45.00 ;    7.25 ;     ;       6 ;   4.8;  w ;4.8; 0.26 ;  CPTI04
 1450 ;     ;   ;    ;      ;  45.88 ;    3.12 ;     ;       7 ;      ;    ;4.9;      ;  SisF10
 1454 ;    9; 14;  22;      ;  47.55 ;    7.60 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1471 ;     ;   ;    ;      ;  45.54 ;   10.21 ;     ;     5.5 ;   4.6;  w ;4.6; 0.13 ;  CPTI04
 1472 ;    3;  7;    ;      ;  47.55 ;    7.60 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1472 ;    3; 22;   3;      ;  47.55 ;    7.60 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1475 ;    8; 25;    ;      ;  49.63 ;    8.35 ;     ;       6 ;      ;    ;4.2;      ;   GFV99
 1477 ;    6; 29;   7;      ;  45.83 ;    3.10 ;     ;     7.5 ;      ;    ;5.3;      ;  SisF10
 1478 ;    2; 24;    ;      ;  47.75 ;   10.33 ;     ;     5.5 ;      ;    ;3.8;      ;     Ley
 1481 ;    5;  7;    ;      ;  44.28 ;   10.13 ;     ;     8.5 ;   5.8;  w ;5.8; 0.14 ;  CPTI04
 1490 ;    3;  1;  10;      ;  45.83 ;    2.97 ;     ;       8 ;      ;    ;5.6;      ;  SisF10
 1494 ;    6; 23;    ;      ;  43.98 ;    7.32 ;     ;       8 ;      ;    ;5.6;      ;  SisF10
 1497 ;    5; 14;  23;      ;  47.57 ;   -0.40 ;     ;       7 ;      ;    ;4.9;      ;  SisF10
 1498 ;   11; 10;    ;      ;  47.53 ;    7.65 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1499 ;    1;  2;  22;      ;  47.55 ;    7.60 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1502 ;    5;   ;    ;      ;  44.40 ;    7.50 ;     ;       6 ;   4.8;  w ;4.8; 0.26 ;  CPTI04
 1502 ;    9; 23;    ;      ;  44.50 ;    7.50 ;     ;       7 ;   5.2;  w ;5.2;  0.3 ;  CPTI04
 1504 ;    3;   ;    ;      ;  46.78 ;   10.19 ;     ;       7 ;   5.4;  w ;5.4;      ; ECOS-09
 1507 ;     ;   ;    ;      ;  45.00 ;    7.25 ;     ;       6 ;   4.8;  w ;4.8; 0.26 ;  CPTI04
 1509 ;   12; 13;  11;      ;  43.83 ;    5.78 ;     ;       8 ;      ;    ;5.6;      ;  SisF10
 1512 ;    2;  8;    ;      ;  46.30 ;    9.37 ;     ;       6 ;   4.8;  w ;4.8; 0.26 ;  CPTI04
 1517 ;    4;  4;  16;      ;  48.67 ;    9.00 ;     ;       6 ;      ;    ;4.2;      ;     Ley
 1518 ;    3;   ;    ;      ;  46.53 ;    9.08 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1521 ;    1; 26;  10;    30;  45.55 ;   10.22 ;     ;       6 ;   4.8;  w ;4.8; 0.26 ;  CPTI04
 1522 ;     ;   ;    ;      ;  47.47 ;    7.65 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1522 ;   10;  5;   8;      ;  45.14 ;   10.02 ;     ;     5.5 ;   4.6;  w ;4.6; 0.13 ;  CPTI04
 1523 ;   12; 27;  23;    55;  47.60 ;    7.50 ;     ;       6 ;      ;    ;4.3;      ;    VogP
 1524 ;    4;   ;    ;      ;  46.27 ;    7.27 ;     ;       7 ;   5.8;  w ;5.8;      ; ECOS-09
 1531 ;   10; 10;  20;      ;  47.42 ;    9.37 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1533 ;   11; 17;    ;      ;  47.48 ;    9.33 ;     ;       5 ;   4.4;  w ;4.4;      ; ECOS-09
 1534 ;    7; 14;  14;    36;  49.33 ;    8.52 ;     ;     5.5 ;      ;    ;3.8;      ;   GruRA
 1535 ;    1; 20;    ;      ;  47.55 ;    7.57 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1537 ;   11;   ;    ;      ;  44.31 ;    8.48 ;     ;       6 ;   4.8;  w ;4.8; 0.26 ;  CPTI04
 1538 ;    9; 22;   1;      ;  47.57 ;    7.62 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1539 ;    5; 29;    ;      ;  47.42 ;    9.37 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1540 ;    7; 18;    ;      ;  47.53 ;    7.55 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1540 ;    9;  1;    ;      ;  45.53 ;   10.22 ;     ;       6 ;   4.8;  w ;4.8; 0.26 ;  CPTI04
 1540 ;   12; 14;    ;      ;  47.53 ;    8.99 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1541 ;   10; 22;  18;      ;  44.76 ;    8.91 ;     ;       8 ;   5.5;  w ;5.5; 0.15 ;  CPTI04
 1542 ;    2;  7;  22;      ;  47.70 ;    8.64 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1542 ;   11;  8;    ;      ;  47.83 ;   10.00 ;     ;       6 ;      ;    ;4.2;      ;     Ley
 1545 ;    6;  9;  15;      ;  44.50 ;    9.84 ;     ;     7.5 ;   5.3;  w ;5.3; 0.19 ;  CPTI04
 1547 ;    7; 31;    ;      ;  44.31 ;    8.48 ;     ;     5.5 ;   4.6;  w ;4.6; 0.13 ;  CPTI04
 1549 ;    5;  3;    ;      ;  44.31 ;    8.48 ;     ;     6.5 ;     5;  w ;5.0; 0.33 ;  CPTI04
 1549 ;    5; 14;    ;      ;  44.67 ;    8.00 ;     ;       6 ;   4.8;  w ;4.8; 0.26 ;  CPTI04
 1550 ;    2; 28;  16;      ;  44.38 ;    7.54 ;     ;     6.5 ;     5;  w ;5.0; 0.33 ;  CPTI04
 1553 ;   11; 16;    ;      ;  47.56 ;    9.70 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1557 ;    4; 28;    ;      ;  47.43 ;    8.62 ;     ;     5.5 ;   4.3;  w ;4.3;      ; ECOS-09
 1559 ;    1; 15;  19;      ;  48.60 ;    7.80 ;     ;       6 ;      ;    ;4.2;      ;     Ley
 1560 ;     ;   ;    ;      ;  47.00 ;    9.10 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1560 ;   10; 11;    ;      ;  47.00 ;    9.10 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1564 ;    7; 20;  20;      ;  44.00 ;    7.32 ;     ;       8 ;      ;    ;5.6;      ;  SisF10
 1565 ;    2;  8;   0;      ;  50.05 ;    7.25 ;     ;       6 ;      ;    ;4.2;      ;    GF99
 1568 ;   11;  8;    ;      ;  44.17 ;    5.13 ;     ;       5 ;      ;    ;3.6;      ;  SisF10
 1569 ;    8;  6;   4;      ;  47.55 ;    7.60 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1572 ;    6;  4;  22;      ;  44.85 ;   10.42 ;     ;       7 ;   5.1;  w ;5.1; 0.23 ;  CPTI04
 1573 ;    3; 22;    ;      ;  46.75 ;    9.93 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1573 ;    6;  5;    ;      ;  46.86 ;    9.53 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1573 ;    7;  8;  19;      ;  46.75 ;    9.67 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1573 ;    8;   ;    ;      ;  46.32 ;    7.65 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1573 ;   12; 21;    ;      ;  47.66 ;    8.80 ;     ;       5 ;   4.7;  w ;4.7;      ; ECOS-09
 1574 ;    1; 28;  15;      ;  46.67 ;    9.40 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1574 ;    7; 17;    ;      ;  48.50 ;    8.00 ;     ;     6.5 ;      ;    ;4.6;      ;   Vog96
 1575 ;     ;   ;    ;      ;  47.45 ;    7.53 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1575 ;    4; 25;    ;      ;  46.22 ;    6.15 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1576 ;    1; 26;  23;      ;  46.70 ;   10.10 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1576 ;    9; 26;   6;      ;  45.67 ;    9.67 ;     ;       6 ;   4.8;  w ;4.8; 0.26 ;  CPTI04
 1576 ;   10;   ;    ;      ;  47.47 ;    7.55 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1576 ;   11; 21;    ;      ;  47.55 ;    7.60 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1576 ;   12; 21;    ;      ;  47.45 ;    7.63 ;     ;     4.5 ;   3.5;  w ;3.5;      ; ECOS-09
 1577 ;    2;  2;    ;      ;  46.95 ;    7.50 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1577 ;    2; 27;    ;      ;  47.52 ;    7.62 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1577 ;   10;  5;  19;      ;  47.53 ;    7.63 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1577 ;   10; 15;    ;      ;  47.52 ;    7.63 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1577 ;   10; 18;    ;      ;  47.55 ;    7.58 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1578 ;    9; 28;  10;      ;  47.67 ;    8.86 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1584 ;    3;  1;    ;      ;  44.47 ;    7.36 ;     ;     6.5 ;     5;  w ;5.0; 0.33 ;  CPTI04
 1584 ;    3; 11;  11;    30;  46.33 ;    6.97 ;   10;       8 ;   5.9;  w ;5.9;      ; ECOS-09
 1584 ;    3; 12;    ;      ;  46.33 ;    6.97 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1584 ;    3; 13;    ;      ;  46.33 ;    6.97 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1584 ;    3; 14;   8;      ;  46.32 ;    6.98 ;     ;       7 ;   5.4;  w ;5.4;      ; ECOS-09
 1584 ;    3; 22;    ;      ;  46.78 ;    6.63 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1586 ;   10; 31;    ;      ;  46.62 ;    9.72 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1588 ;    3; 25;  10;      ;  47.40 ;   -0.55 ;     ;     6.5 ;      ;    ;4.6;      ;  SisF10
 1591 ;    4; 24;  12;      ;  46.20 ;   -1.37 ;     ;     5.5 ;      ;    ;3.9;      ;  SisF10
 1591 ;    9;  3;    ;      ;  47.52 ;    7.58 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1593 ;    1;  9;    ;      ;  46.22 ;    6.17 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1593 ;    3;  8;    ;      ;  45.69 ;    9.67 ;     ;     6.5 ;     5;  w ;5.0; 0.33 ;  CPTI04
 1593 ;    4;  8;  21;     0;  47.47 ;   -0.55 ;     ;       6 ;      ;    ;4.3;      ;  SisF10
 1593 ;   11; 15;    ;      ;  47.00 ;    6.93 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1595 ;    2;  8;  23;      ;  46.75 ;    9.45 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1601 ;    9; 18;   1;      ;  46.92 ;    8.36 ;   10;       8 ;   5.9;  w ;5.9;      ; ECOS-09
 1604 ;    4; 14;   8;    30;  47.53 ;    7.60 ;     ;     4.5 ;   3.5;  w ;3.5;      ; ECOS-09
 1604 ;   11; 11;    ;      ;  46.90 ;    8.25 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1605 ;    4;   ;    ;      ;  46.61 ;    9.57 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1606 ;    8; 22;    ;      ;  45.69 ;    9.67 ;     ;     6.5 ;     5;  w ;5.0; 0.33 ;  CPTI04
 1607 ;    1; 27;   2;      ;  46.70 ;    9.43 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1607 ;    4;  2;    ;      ;  46.78 ;    6.63 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1609 ;    1; 16;   2;      ;  47.43 ;   -0.57 ;     ;       6 ;      ;    ;4.3;      ;  SisF10
 1611 ;    1; 15;    ;      ;  44.80 ;    7.25 ;     ;     5.5 ;   4.6;  w ;4.6; 0.13 ;  CPTI04
 1612 ;    1; 31;    ;      ;  43.95 ;    7.61 ;     ;     6.5 ;   5.3;  w ;5.3; 0.27 ;  CPTI04
 1612 ;    2; 29;    ;      ;  47.48 ;    7.55 ;     ;     4.5 ;   3.5;  w ;3.5;      ; ECOS-09
 1614 ;    2; 27;    ;      ;  47.56 ;    7.59 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1618 ;    1; 18;   5;      ;  43.88 ;    7.28 ;     ;       8 ;      ;    ;5.6;      ;  SisF10
 1618 ;    7;  3;   5;      ;  43.20 ;   -0.62 ;     ;     6.5 ;      ;    ;4.6;      ;  SisF10
 1619 ;    1; 19;   6;      ;  50.29 ;    8.50 ;    3;     5.5 ;      ;    ;3.6;      ;   Gru05
 1620 ;    1; 29;    ;      ;  47.00 ;    6.93 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1620 ;    2; 20;   0;      ;  50.17 ;    7.67 ;     ;       6 ;      ;    ;4.2;      ;     Ley
 1621 ;    5; 30;  13;      ;  46.98 ;    6.86 ;   12;       5 ;   4.7;  w ;4.7;      ; ECOS-09
 1621 ;    5; 31;    ;      ;  47.00 ;    6.76 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1622 ;    8;  3;    ;      ;  46.82 ;   10.23 ;     ;       7 ;   5.4;  w ;5.4;      ; ECOS-09
 1623 ;    2; 20;    ;      ;  46.30 ;    9.77 ;     ;       6 ;   4.8;  w ;4.8; 0.26 ;  CPTI04
 1623 ;    7; 29;    ;      ;  47.02 ;    9.55 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1623 ;    9;   ;    ;      ;  46.52 ;    6.66 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1624 ;   11; 18;    ;      ;  47.20 ;    7.54 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1625 ;    2; 22;  10;      ;  46.82 ;    8.40 ;     ;     4.5 ;   3.5;  w ;3.5;      ; ECOS-09
 1628 ;   11;  4;  15;    15;  44.80 ;   10.33 ;     ;       7 ;   5.2;  w ;5.2;  0.3 ;  CPTI04
 1629 ;     ;   ;    ;      ;  46.23 ;    7.57 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1630 ;    6; 15;    ;      ;  47.00 ;    6.80 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1630 ;    7;  5;    ;      ;  47.47 ;    7.57 ;     ;     4.5 ;   3.5;  w ;3.5;      ; ECOS-09
 1636 ;    6;   ;    ;      ;  48.27 ;    7.45 ;     ;       5 ;      ;    ;3.6;      ;  SisF10
 1637 ;    6; 27;    ;      ;  47.70 ;    8.64 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1638 ;    3;   ;    ;      ;  46.58 ;    8.58 ;     ;     4.5 ;   3.5;  w ;3.5;      ; ECOS-09
 1642 ;    6; 13;  22;      ;  45.69 ;    9.67 ;     ;     6.5 ;     5;  w ;5.0; 0.33 ;  CPTI04
 1642 ;   11; 22;    ;      ;  47.00 ;    6.93 ;     ;     4.5 ;   3.5;  w ;3.5;      ; ECOS-09
 1642 ;   11; 28;  23;      ;  50.00 ;    8.38 ;     ;     5.5 ;      ;    ;3.8;      ;     Ley
 1642 ;   12;  2;    ;      ;  47.00 ;    6.93 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1644 ;    2; 15;   4;    30;  43.95 ;    7.22 ;     ;       8 ;      ;    ;5.6;      ;  SisF10
 1644 ;    4; 20;  10;      ;  47.38 ;    8.07 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1644 ;    4; 21;    ;      ;  47.47 ;    7.92 ;     ;     4.5 ;   3.5;  w ;3.5;      ; ECOS-09
 1646 ;    4;  5;    ;      ;  43.55 ;   10.32 ;     ;       7 ;   5.2;  w ;5.2;  0.3 ;  CPTI04
 1647 ;    5;  4;    ;      ;  47.47 ;    7.62 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1649 ;   12;  5;    ;      ;  47.00 ;    6.93 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1650 ;    1;   ;    ;      ;  47.00 ;    6.93 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1650 ;    1; 18;    ;      ;  47.23 ;    9.44 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1650 ;    1; 19;    ;      ;  47.23 ;    9.44 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1650 ;    1; 20;    ;      ;  47.23 ;    9.44 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1650 ;    1; 21;    ;      ;  47.23 ;    9.44 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1650 ;    1; 22;    ;      ;  47.23 ;    9.44 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1650 ;    1; 23;    ;      ;  47.23 ;    9.44 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1650 ;    2; 15;    ;      ;  47.48 ;    7.60 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1650 ;    3; 15;    ;      ;  47.48 ;    7.62 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1650 ;    5;  2;    ;      ;  47.48 ;    7.63 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1650 ;    5; 16;  11;      ;  47.53 ;    7.57 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1650 ;    7; 11;   3;      ;  47.53 ;    7.58 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1650 ;    7; 26;    ;      ;  47.52 ;    7.55 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1650 ;    8; 18;  22;      ;  46.87 ;    9.53 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1650 ;    9; 12;    ;      ;  47.52 ;    7.65 ;     ;     5.5 ;   4.3;  w ;4.3;      ; ECOS-09
 1650 ;    9; 16;    ;      ;  47.50 ;    7.62 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1650 ;    9; 21;   3;      ;  47.55 ;    7.53 ;     ;       7 ;   5.3;  w ;5.3;      ; ECOS-09
 1650 ;    9; 30;    ;      ;  46.52 ;    6.66 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1650 ;    9; 30;    ;      ;  47.42 ;    9.37 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1650 ;   10;   ;    ;      ;  47.48 ;    7.55 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1650 ;   10; 19;    ;      ;  47.70 ;    8.64 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1650 ;   10; 25;    ;      ;  47.56 ;    9.70 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1650 ;   10; 27;    ;      ;  47.38 ;    8.07 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1650 ;   10; 27;    ;      ;  47.25 ;    8.73 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1650 ;   10; 28;    ;      ;  47.56 ;    8.89 ;     ;       5 ;   4.7;  w ;4.7;      ; ECOS-09
 1650 ;   10; 30;    ;      ;  47.56 ;    8.89 ;   12;       4 ;     4;  w ;4.0;      ; ECOS-09
 1650 ;   11;  3;  15;      ;  47.48 ;    7.73 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
