# Creation Date: Wed Nov 19 16:44:21 2014
# Data from the EMEC Catalogue (Gruenthal, G. & Wahlstroem, R., 2012)
# Contact address: ggrue@gfz-potsdam.de
# For technical questions: lemgo@gfz-potsdam.de
------------------------------------------------------------------------------------------------
# Indices at original magnitudes M_orig: w for Mw or Mo, L for ML, S for MS, b for mb, d for Md.
# The focal depth is given in km.
------------------------------------------------------------------------------------------------
# Requested data:
# Coordinate Range Lat: 28/40 Lon: 30/40
# Time: 1000 - 2006
# File Format:
# year;month;day;hour;minute;latitude;longitude;depth;intensity;M_orig;type;Mw ;Mw_err;reference
------------------------------------------------------------------------------------------------
 1097 ;   12; 30;    ;      ;  36.20 ;   36.10 ;     ;     7.5 ;      ;    ;5.8;      ;      GC
 1105 ;   12; 24;    ;      ;  31.80 ;   35.20 ;     ;     6.5 ;      ;    ;5.3;      ;      GC
 1111 ;    8; 31;   6;    30;  30.00 ;   31.20 ;     ;     7.5 ;      ;    ;5.8;      ;      GC
 1114 ;    8; 10;    ;      ;  37.10 ;   36.00 ;     ;         ;   6.8;  S ;6.7;      ;     KKP
 1114 ;   11;   ;    ;      ;  37.30 ;   38.50 ;   40;     8.5 ;   7.4;  S ;7.2;      ;     SDM
 1114 ;   11; 29;    ;      ;  37.50 ;   37.20 ;     ;       7 ;   6.9;  S ;6.8;      ;   Amb09
 1117 ;    6; 26;    ;      ;  33.10 ;   35.20 ;     ;     8.5 ;      ;    ;6.3;      ;      GC
 1121 ;   12; 18;    ;      ;  38.50 ;   37.80 ;     ;      10 ;      ;    ;7.0;      ;      GC
 1138 ;   10; 11;    ;      ;  36.10 ;   37.10 ;     ;    10.5 ;   7.3;  S ;7.1;      ;     KKP
 1149 ;     ;   ;    ;      ;  35.90 ;   36.40 ;   30;       8 ;   6.7;  w ;6.7;      ;      KU
 1150 ;     ;   ;    ;      ;  31.80 ;   35.50 ;     ;       9 ;      ;    ;6.5;      ;      GC
 1151 ;    9; 28;    ;      ;  32.60 ;   36.70 ;   12;       8 ;   5.8;  S ;5.9;      ;     SDM
 1152 ;    2;  1;   4;      ;  32.50 ;   36.50 ;     ;     5.5 ;      ;    ;5.0;      ;      GC
 1156 ;    5; 18;    ;      ;  36.50 ;   36.60 ;   30;       9 ;   7.4;  w ;7.4;      ;      KU
 1156 ;   10; 13;    ;      ;  35.40 ;   36.40 ;     ;       7 ;      ;    ;5.5;      ;      GC
 1156 ;   12;  9;    ;      ;  36.20 ;   37.20 ;     ;       8 ;      ;    ;6.0;      ;      GC
 1157 ;    4;  2;    ;      ;  35.40 ;   36.60 ;     ;       7 ;      ;    ;5.5;      ;      GC
 1157 ;    7; 15;    ;      ;  34.50 ;   36.50 ;     ;       8 ;   5.9;  S ;6.0;      ;     KKP
 1157 ;    8; 12;    ;      ;  35.30 ;   36.40 ;     ;       8 ;   7.2;  S ;7.0;      ;   Amb09
 1160 ;     ;   ;    ;      ;  34.70 ;   32.60 ;     ;       9 ;      ;    ;6.5;      ;      GC
 1160 ;     ;   ;    ;      ;  32.00 ;   35.30 ;     ;         ;   5.9;  S ;6.0;      ;     KKP
 1163 ;    8;   ;    ;      ;  36.20 ;   36.10 ;     ;     9.5 ;      ;    ;6.8;      ;      GC
 1165 ;     ;   ;    ;      ;  39.70 ;   39.50 ;     ;       9 ;      ;    ;6.5;      ;      GC
 1168 ;     ;   ;    ;      ;  39.74 ;   39.50 ;     ;         ;   6.7;  w ;6.7;      ;TR-GSHAP
 1170 ;     ;   ;    ;      ;  39.74 ;   39.50 ;     ;         ;   6.7;  w ;6.7;      ;TR-GSHAP
 1170 ;    6; 29;    ;      ;  34.70 ;   36.40 ;     ;       8 ;   7.3;  S ;7.1;      ;   Amb09
 1182 ;     ;   ;    ;      ;  32.60 ;   36.70 ;     ;         ;   6.5;  S ;6.5;      ;     KKP
 1183 ;     ;   ;    ;      ;  34.75 ;   32.50 ;     ;     8.5 ;      ;    ;6.3;      ;      GD
 1202 ;    5; 20;    ;      ;  33.90 ;   35.90 ;     ;         ;   7.2;  S ;7.0;      ;   Amb06
 1212 ;    5;  1;    ;      ;  30.00 ;   35.00 ;     ;         ;     7;  S ;6.9;      ;   Amb06
 1213 ;    6; 22;    ;      ;  37.20 ;   32.30 ;     ;      10 ;      ;    ;7.0;      ;      GC
 1222 ;    5; 11;   6;    15;  34.70 ;   32.80 ;     ;     9.5 ;      ;    ;6.8;      ;      GC
 1236 ;     ;   ;    ;      ;  39.70 ;   39.50 ;     ;     8.5 ;      ;    ;6.3;      ;      GC
 1254 ;   10; 11;    ;      ;  39.70 ;   39.50 ;     ;      10 ;      ;    ;7.0;      ;      GC
 1259 ;    3; 22;    ;      ;  32.50 ;   35.50 ;     ;         ;   6.5;  S ;6.5;      ;      FA
 1261 ;     ;   ;    ;      ;  34.00 ;   35.50 ;     ;         ;   7.3;  S ;7.1;      ;      FA
 1269 ;    4; 17;  17;      ;  37.00 ;   36.60 ;     ;      10 ;      ;    ;7.0;      ;      GC
 1280 ;     ;   ;    ;      ;  39.70 ;   39.50 ;     ;     5.5 ;      ;    ;5.0;      ;      GC
 1284 ;     ;   ;    ;      ;  38.00 ;   38.60 ;     ;     8.5 ;      ;    ;6.3;      ;      GC
 1284 ;     ;   ;    ;      ;  33.30 ;   36.20 ;     ;     9.5 ;      ;    ;6.8;      ;     KKP
 1287 ;    2;   ;    ;      ;  34.70 ;   36.70 ;     ;     7.5 ;      ;    ;5.8;      ;      GC
 1287 ;    3;  8;    ;      ;  34.70 ;   36.70 ;     ;       7 ;      ;    ;5.5;      ;      GC
 1287 ;    3; 22;    ;      ;  35.50 ;   35.80 ;     ;       8 ;      ;    ;6.0;      ;      GC
 1287 ;    4;  2;    ;      ;  33.00 ;   35.50 ;     ;     8.5 ;   6.5;  S ;6.5;      ;      FA
 1287 ;    5; 16;    ;      ;  39.70 ;   39.50 ;     ;       9 ;      ;    ;6.5;      ;      GC
 1293 ;     ;   ;    ;      ;  30.00 ;   31.20 ;     ;     6.5 ;      ;    ;5.3;      ;      GC
 1293 ;    1; 11;    ;      ;  32.00 ;   34.90 ;     ;       8 ;      ;    ;6.0;      ;     KKP
 1308 ;     ;   ;    ;      ;  39.74 ;   39.50 ;     ;         ;   6.5;  w ;6.5;      ;TR-GSHAP
 1322 ;    1; 20;    ;      ;  33.50 ;   36.30 ;     ;       6 ;      ;    ;5.2;      ;      GC
 1339 ;     ;   ;    ;      ;  34.30 ;   35.50 ;     ;       9 ;     7;  S ;6.9;      ;     KKP
 1343 ;     ;   ;    ;      ;  37.30 ;   37.40 ;   30;       9 ;   7.6;  w ;7.6;      ;      KU
 1343 ;    1;  1;    ;      ;  33.30 ;   36.20 ;     ;       9 ;      ;    ;6.5;      ;     KKP
 1344 ;     ;   ;    ;      ;  39.70 ;   39.50 ;     ;     5.5 ;      ;    ;5.0;      ;      GC
 1344 ;    1;  2;    ;      ;  36.70 ;   37.40 ;   30;       8 ;   6.8;  S ;6.7;      ;     SDM
 1347 ;   12;  8;    ;      ;  30.00 ;   31.20 ;     ;       5 ;      ;    ;4.8;      ;      GC
 1350 ;    7;   ;    ;      ;  34.70 ;   32.60 ;     ;      10 ;      ;    ;7.0;      ;      GC
 1352 ;   10; 11;    ;      ;  30.00 ;   31.20 ;     ;       4 ;      ;    ;4.4;      ;      GC
 1355 ;     ;   ;    ;      ;  39.70 ;   39.50 ;     ;     7.5 ;      ;    ;5.8;      ;      GC
 1366 ;     ;   ;    ;      ;  33.00 ;   35.50 ;     ;       5 ;      ;    ;4.8;      ;      GC
 1373 ;   10; 19;    ;      ;  30.00 ;   31.20 ;     ;       4 ;      ;    ;4.4;      ;      GC
 1374 ;   12;  8;    ;      ;  39.70 ;   39.50 ;     ;       8 ;      ;    ;6.0;      ;      GC
 1385 ;    9; 19;    ;      ;  30.00 ;   31.20 ;     ;     3.5 ;      ;    ;4.2;      ;      GC
 1386 ;    7; 17;   7;    45;  30.00 ;   31.20 ;     ;     3.5 ;      ;    ;4.2;      ;      GC
 1392 ;    4; 13;    ;      ;  35.00 ;   33.00 ;     ;       9 ;      ;    ;6.5;      ;      GC
 1399 ;    9; 20;    ;      ;  33.50 ;   36.30 ;     ;     3.5 ;      ;    ;4.2;      ;      GC
 1403 ;   12; 18;    ;      ;  36.20 ;   37.20 ;     ;       9 ;      ;    ;6.5;      ;      GC
 1404 ;    2; 20;    ;      ;  35.70 ;   36.20 ;   30;     8.5 ;   7.4;  S ;7.2;      ;     SDM
 1404 ;   11;  5;    ;      ;  36.20 ;   37.20 ;     ;       5 ;      ;    ;4.8;      ;      GC
 1407 ;    4; 29;   1;      ;  35.70 ;   36.30 ;     ;         ;     7;  S ;6.9;      ;     KKP
 1408 ;   12; 29;    ;      ;  35.80 ;   36.10 ;   25;       9 ;   7.4;  S ;7.2;      ;     SDM
 1419 ;    3; 26;    ;      ;  39.70 ;   39.50 ;     ;     8.5 ;      ;    ;6.3;      ;      GC
 1422 ;     ;   ;    ;      ;  39.74 ;   39.50 ;     ;         ;   6.7;  w ;6.7;      ;TR-GSHAP
 1422 ;    6; 28;    ;      ;  30.00 ;   31.20 ;     ;     3.5 ;      ;    ;4.2;      ;      GC
 1425 ;    6; 23;   3;      ;  30.00 ;   31.20 ;     ;       6 ;      ;    ;5.2;      ;      GC
 1434 ;   11;  6;    ;      ;  30.00 ;   31.20 ;     ;     4.5 ;      ;    ;4.6;      ;      GC
 1438 ;    2; 13;  14;      ;  30.00 ;   31.20 ;     ;       3 ;      ;    ;4.1;      ;      GC
 1455 ;    3;  6;    ;      ;  30.00 ;   31.20 ;     ;     4.5 ;      ;    ;4.6;      ;      GC
 1457 ;    4; 23;   3;    30;  39.70 ;   39.50 ;     ;      10 ;      ;    ;7.0;      ;      GC
 1458 ;   11; 16;    ;      ;  31.00 ;   35.50 ;     ;         ;   7.1;  S ;6.9;      ;   Amb06
 1467 ;   12; 14;    ;      ;  30.00 ;   31.20 ;     ;       6 ;      ;    ;5.2;      ;      GC
 1476 ;   10; 20;    ;      ;  30.00 ;   31.20 ;     ;       5 ;      ;    ;4.8;      ;      GC
 1479 ;   10; 16;   8;      ;  35.20 ;   33.40 ;     ;     5.5 ;      ;    ;5.0;      ;      GC
 1482 ;   11;   ;    ;      ;  39.70 ;   39.50 ;     ;      10 ;      ;    ;7.0;      ;   Amb09
 1483 ;    6; 14;    ;      ;  30.00 ;   31.20 ;     ;       4 ;      ;    ;4.4;      ;      GC
 1484 ;    3; 29;    ;      ;  36.20 ;   37.20 ;     ;       5 ;      ;    ;4.8;      ;      GC
 1491 ;    4; 24;  17;      ;  34.90 ;   33.40 ;     ;       9 ;      ;    ;6.5;      ;      GC
 1498 ;    9; 18;    ;      ;  30.00 ;   31.20 ;     ;       5 ;      ;    ;4.8;      ;      GC
 1513 ;     ;   ;    ;      ;  37.50 ;   36.50 ;   14;     9.5 ;   7.5;  w ;7.5;      ;      KU
 1543 ;     ;   ;    ;      ;  39.74 ;   39.50 ;     ;         ;   6.5;  w ;6.5;      ;TR-GSHAP
 1544 ;    1;   ;    ;      ;  38.00 ;   37.00 ;   10;      10 ;   6.8;  w ;6.8;      ;      KU
 1546 ;    1; 14;  11;      ;  32.00 ;   35.30 ;     ;       6 ;     6;  S ;6.1;      ;     KKP
 1567 ;    4; 25;    ;      ;  34.50 ;   33.00 ;     ;     6.5 ;      ;    ;5.3;      ;      GD
 1577 ;    1; 28;    ;      ;  34.50 ;   33.00 ;     ;     7.5 ;      ;    ;5.8;      ;      GD
 1578 ;     ;   ;    ;      ;  39.74 ;   39.50 ;     ;         ;   6.5;  w ;6.5;      ;TR-GSHAP
 1584 ;     ;   ;    ;      ;  39.74 ;   39.50 ;     ;         ;   6.7;  w ;6.7;      ;TR-GSHAP
 1588 ;    1;  4;    ;      ;  29.00 ;   36.00 ;     ;         ;   7.2;  S ;7.0;      ;   Amb06
 1588 ;    4;  7;   6;      ;  29.40 ;   31.60 ;     ;         ;   4.7;  S ;5.2;      ;     AMA
 1626 ;    1; 21;    ;      ;  36.50 ;   37.10 ;   20;       9 ;   7.3;  S ;7.1;      ;     SDM
 1656 ;    2;   ;    ;      ;  34.90 ;   36.20 ;     ;       7 ;   6.8;  S ;6.7;      ;     KKP
 1666 ;     ;   ;    ;      ;  39.74 ;   39.50 ;     ;         ;   6.5;  w ;6.5;      ;TR-GSHAP
 1705 ;   11; 24;    ;      ;  33.70 ;   36.60 ;   35;       8 ;   6.9;  S ;6.8;      ;     SDM
 1714 ;     ;   ;    ;      ;  38.72 ;   35.50 ;     ;         ;   6.5;  w ;6.5;      ;TR-GSHAP
 1718 ;   12; 10;    ;      ;  35.25 ;   33.25 ;     ;     8.5 ;      ;    ;6.3;      ;      GD
 1726 ;    4; 15;    ;      ;  36.30 ;   36.60 ;   15;       8 ;   6.1;  S ;6.1;      ;     SDM
 1735 ;   12;   ;    ;      ;  35.00 ;   34.00 ;     ;     8.5 ;      ;    ;6.3;      ;      GD
 1738 ;    9; 25;    ;      ;  36.70 ;   36.50 ;   10;       8 ;   6.2;  S ;6.2;      ;     SDM
 1746 ;    7;  5;    ;      ;  33.00 ;   36.00 ;     ;       6 ;   4.8;  S ;5.2;      ;      FA
 1753 ;   12; 16;    ;      ;  33.00 ;   36.00 ;     ;       8 ;   5.9;  S ;6.0;      ;      FA
 1754 ;     ;   ;    ;      ;  39.75 ;   37.00 ;     ;         ;   6.5;  w ;6.5;      ;TR-GSHAP
 1759 ;   10; 30;   3;    45;  33.10 ;   35.60 ;   20;     8.5 ;   6.6;  S ;6.5;      ;     SDM
 1759 ;   11; 25;    ;      ;  33.70 ;   36.20 ;     ;         ;   7.5;  S ;7.2;      ;   Amb06
 1767 ;     ;   ;    ;      ;  38.53 ;   30.55 ;     ;         ;   6.5;  w ;6.5;      ;TR-GSHAP
 1789 ;     ;   ;    ;      ;  38.70 ;   39.90 ;     ;         ;   6.5;  w ;6.5;      ;TR-GSHAP
 1789 ;    5; 29;    ;      ;  39.00 ;   40.00 ;   40;       8 ;   7.1;  w ;7.1;      ;      KU
 1796 ;    4; 26;    ;      ;  35.30 ;   36.20 ;   20;     8.5 ;   6.8;  S ;6.7;      ;     SDM
 1802 ;     ;   ;    ;      ;  34.00 ;   36.20 ;     ;         ;     6;  S ;6.1;      ;     KKP
 1814 ;     ;   ;    ;      ;  32.80 ;   35.80 ;     ;       8 ;      ;    ;6.0;      ;      FA
 1822 ;    8; 13;    ;      ;  36.10 ;   36.75 ;   18;       9 ;     7;  S ;6.9;      ;     SDM
 1834 ;    5; 23;   4;      ;  31.30 ;   35.60 ;     ;         ;   6.1;  S ;6.1;      ;     KKP
 1835 ;    8;   ;    ;      ;  38.72 ;   35.50 ;     ;         ;   6.5;  w ;6.5;      ;TR-GSHAP
 1837 ;    1;  1;    ;      ;  33.30 ;   35.50 ;     ;         ;     7;  S ;6.9;      ;   Amb06
 1847 ;    8;  7;   8;    15;  29.70 ;   30.80 ;     ;         ;   5.8;  S ;5.9;      ;     AMA
 1863 ;     ;   ;    ;      ;  38.50 ;   30.60 ;   10;     9.5 ;   6.4;  w ;6.4;      ;      KU
 1868 ;    2; 20;   3;    15;  32.00 ;   33.00 ;     ;         ;   5.4;  S ;5.6;      ;     AMA
 1872 ;    4;  3;    ;      ;  36.20 ;   36.50 ;   10;     8.5 ;   5.9;  S ;6.0;      ;     SDM
 1874 ;    5;  3;   7;      ;  38.50 ;   39.50 ;   14;      10 ;   7.2;  w ;7.2;      ;      KU
 1875 ;    3;  3;  22;    48;  38.50 ;   39.50 ;   35;     7.5 ;   6.8;  w ;6.8;      ;      KU
 1879 ;    7; 11;  18;      ;  29.00 ;   33.00 ;     ;         ;   5.9;  S ;6.0;      ;     AMA
 1893 ;    3; 31;    ;      ;  38.40 ;   38.70 ;     ;         ;     7;  w ;7.0;      ;TR-GSHAP
 1894 ;    1; 13;   2;     0;  35.60 ;   34.70 ;     ;         ;   5.5;  S ;5.7;      ;      AA
 1894 ;    5; 14;    ;      ;  36.60 ;   35.60 ;   30;       7 ;   6.2;  w ;6.2;      ;      KU
 1895 ;   12;  7;   2;    40;  30.60 ;   31.20 ;     ;         ;   4.9;  S ;5.3;      ;     AMA
 1896 ;    5;  2;    ;      ;  34.00 ;   36.00 ;     ;       7 ;   5.3;  S ;5.5;      ;      FA
 1896 ;    6; 29;   4;     5;  34.45 ;   33.10 ;     ;         ;   6.5;  w ;6.5;      ;     Pou
 1896 ;    7;  3;   6;    51;  34.30 ;   33.00 ;     ;         ;   5.6;  w ;5.6;      ;     Pou
 1900 ;    1;  5;   0;    55;  34.45 ;   34.00 ;     ;         ;   6.1;  w ;6.1;      ;     Pou
 1900 ;    1; 18;   5;    29;  29.00 ;   33.00 ;     ;       3 ;   4.1;  S ;4.8;      ;     AMA
 1900 ;    1; 27;   2;    30;  37.63 ;   37.37 ;     ;         ;   5.3;  w ;5.3;      ;      KU
 1900 ;    2;  6;  15;     9;  38.12 ;   31.29 ;     ;         ;   5.9;  w ;5.9;      ;      KU
 1900 ;    3;  6;  17;    58;  29.00 ;   33.00 ;     ;       6 ;   6.2;  S ;6.2;      ;     AMA
 1900 ;   11; 10;  16;    23;  38.08 ;   38.72 ;     ;         ;   5.7;  w ;5.7;      ;      KU
 1900 ;   11; 25;  17;      ;  38.10 ;   36.65 ;     ;         ;   5.3;  w ;5.3;      ;      KU
 1901 ;    1; 10;    ;      ;  38.02 ;   37.13 ;     ;         ;   5.8;  w ;5.8;      ;      KU
 1902 ;    3;  9;  23;     5;  31.80 ;   35.20 ;     ;         ;   5.5;  S ;5.7;      ;     KKP
 1901 ;    5; 12;  12;    32;  39.80 ;   30.50 ;   15;         ;   5.3;  w ;5.3;      ;   KOERI
 1902 ;    3; 29;  22;    30;  32.20 ;   35.40 ;     ;         ;   5.6;  S ;5.7;      ;     KKP
 1903 ;    3; 29;  23;      ;  32.00 ;   35.50 ;     ;       8 ;   5.2;  S ;5.5;      ;     KKP
 1903 ;    7; 19;  18;     7;  35.00 ;   30.00 ;   20;         ;   5.7;  w ;5.7; 0.35 ;     Pap
 1903 ;    8; 27;  14;    46;  34.70 ;   33.20 ;     ;         ;     5;  w ;5.0;      ;     Pou
 1903 ;    8; 27;  14;    48;  34.60 ;   33.30 ;     ;         ;   5.4;  w ;5.4;      ;     Pou
 1903 ;   10;  7;  11;    12;  36.50 ;   36.50 ;     ;         ;   5.2;  w ;5.2;      ;     Pou
 1905 ;    4; 30;  16;    13;  39.80 ;   30.50 ;   22;         ;   5.5;  w ;5.5;      ;   KOERI
 1905 ;   12;  4;   7;     4;  39.00 ;   39.00 ;   30;         ;   6.5;  w ;6.5;      ;   KOERI
 1905 ;   12;  4;   9;    40;  39.00 ;   39.00 ;   30;         ;   5.8;  w ;5.8;      ;   KOERI
 1905 ;   12;  4;  12;    20;  39.00 ;   39.00 ;   30;         ;   5.7;  w ;5.7;      ;   KOERI
 1906 ;    2; 23;   7;    31;  34.30 ;   33.50 ;     ;         ;   5.6;  w ;5.6;      ;     Pou
 1907 ;    6; 10;  12;    20;  33.71 ;   35.41 ;   10;         ;   4.8;  w ;4.8;      ;     Pou
 1907 ;    6; 22;  15;    32;  33.70 ;   35.40 ;     ;         ;     5;  w ;5.0;      ;     Pou
 1907 ;    7; 22;  17;    40;  33.71 ;   35.41 ;     ;         ;   4.6;  w ;4.6;      ;     Pou
 1908 ;    2;  2;    ;      ;  37.50 ;   34.50 ;     ;         ;   5.4;  w ;5.4;      ;      KU
 1908 ;    2; 17;   3;     0;  37.40 ;   35.80 ;     ;       8 ;   6.2;  w ;6.2;      ;      KU
 1908 ;   10; 30;  11;    30;  37.60 ;   36.80 ;   30;         ;   5.5;  w ;5.5;      ;   KOERI
 1909 ;    2;  9;  11;    24;  40.00 ;   38.00 ;   60;         ;   6.2;  w ;6.2;      ;   KOERI
 1909 ;    2;  9;  14;    38;  40.00 ;   38.00 ;   30;         ;   5.8;  w ;5.8;      ;   KOERI
 1909 ;    2; 10;  19;    49;  40.00 ;   38.00 ;   30;         ;   5.8;  w ;5.8;      ;   KOERI
 1909 ;    2; 22;  14;    14;  39.00 ;   37.00 ;   30;         ;   5.8;  w ;5.8;      ;   KOERI
 1909 ;    3;  5;  12;    16;  39.00 ;   40.00 ;   30;         ;   5.5;  w ;5.5;      ;   KOERI
 1910 ;    3; 20;    ;      ;  36.80 ;   34.60 ;     ;         ;   5.4;  w ;5.4;      ;      KU
 1910 ;    7; 10;  19;    24;  33.90 ;   36.20 ;     ;         ;     5;  w ;5.0;      ;     Pou
 1911 ;    1;  5;   1;    59;  30.00 ;   31.30 ;     ;       4 ;      ;    ;4.4;      ;     AMA
 1911 ;    1; 26;  17;    35;  28.00 ;   33.70 ;     ;       4 ;   4.3;  S ;4.9;      ;     AMA
 1911 ;    4; 30;  20;    42;  36.00 ;   30.00 ;  180;         ;     6;  w ;6.0;      ;   KOERI
 1911 ;    8; 22;  20;    23;  28.80 ;   32.60 ;     ;       5 ;   4.3;  S ;4.9;      ;     AMA
 1912 ;    3; 29;   0;    45;  35.60 ;   35.80 ;     ;         ;   4.7;  w ;4.7;      ;     Pou
 1913 ;   11; 13;  13;    25;  34.02 ;   35.72 ;     ;         ;   4.4;  w ;4.4;      ;     Pou
 1914 ;    5; 28;  11;    27;  39.84 ;   35.80 ;   10;         ;   5.5;  w ;5.5;      ;   KOERI
 1914 ;   10;  3;  22;     7;  37.70 ;   30.40 ;   14;         ;   6.6;  w ;6.6;      ;   KOERI
 1914 ;   10;  3;  23;    23;  38.00 ;   30.00 ;   15;         ;   4.9;  w ;4.9;      ;   KOERI
 1914 ;   10;  4;   0;    22;  38.00 ;   30.00 ;   15;         ;   4.9;  w ;4.9;      ;   KOERI
 1914 ;   10;  4;   2;     7;  38.00 ;   30.00 ;   15;         ;   4.9;  w ;4.9;      ;   KOERI
 1914 ;   10;  4;  15;    50;  38.00 ;   30.00 ;   15;         ;   5.3;  w ;5.3;      ;   KOERI
 1914 ;   10;  4;  18;    10;  38.00 ;   30.00 ;   15;         ;   4.9;  w ;4.9;      ;   KOERI
 1914 ;   10;  4;  18;    48;  38.01 ;   38.24 ;   15;         ;   5.3;  w ;5.3;      ;   KOERI
 1914 ;   10;  4;  20;    28;  38.00 ;   30.00 ;   15;         ;   4.7;  w ;4.7;      ;   KOERI
 1914 ;   10;  5;  12;     9;  38.00 ;   30.00 ;   15;         ;   4.8;  w ;4.8;      ;   KOERI
 1914 ;   10;  6;  12;    30;  38.00 ;   30.00 ;   15;         ;   4.8;  w ;4.8;      ;   KOERI
 1914 ;   10;  8;  16;    13;  38.00 ;   30.00 ;   15;         ;   4.9;  w ;4.9;      ;   KOERI
 1914 ;   10; 10;  13;    13;  38.00 ;   30.00 ;   15;         ;   4.8;  w ;4.8;      ;   KOERI
 1914 ;   10; 11;   9;    45;  38.00 ;   30.00 ;   15;         ;   5.4;  w ;5.4;      ;   KOERI
 1914 ;   10; 13;  20;    38;  38.00 ;   30.00 ;   15;         ;   4.7;  w ;4.7;      ;   KOERI
 1914 ;   10; 17;   0;    13;  38.00 ;   30.00 ;   15;         ;   4.9;  w ;4.9;      ;   KOERI
 1914 ;   11; 11;   9;    45;  38.00 ;   30.00 ;     ;         ;   5.2;  w ;5.2; 0.25 ;     Pap
 1915 ;    5; 19;   4;    48;  37.62 ;   39.47 ;   10;         ;   5.5;  w ;5.5;      ;   KOERI
 1915 ;   12; 25;   6;     6;  36.47 ;   36.14 ;   10;         ;   5.4;  w ;5.4;      ;   KOERI
 1918 ;    1; 16;  16;    32;  38.80 ;   32.90 ;   10;         ;   5.5;  w ;5.5;      ;   KOERI
 1918 ;    9; 29;  12;     7;  35.10 ;   34.80 ;     ;         ;   6.5;  w ;6.5;      ;     Pou
 1918 ;   10;  1;   2;    10;  29.50 ;   31.30 ;     ;       5 ;   4.2;  S ;4.9;      ;     AMA
 1919 ;    5; 27;  10;    35;  39.13 ;   31.02 ;   10;         ;   5.5;  w ;5.5;      ;   KOERI
 1919 ;    8; 19;  20;    17;  35.23 ;   34.70 ;     ;         ;   5.6;  w ;5.6;      ;     Pou
 1919 ;    8; 29;  20;    17;  35.20 ;   34.70 ;     ;         ;     6;  w ;6.0;      ;     Pou
 1920 ;    2; 26;  23;     4;  38.80 ;   32.90 ;     ;         ;   5.1;  w ;5.1;      ;      KU
 1920 ;   10;  1;   2;    10;  29.50 ;   31.30 ;     ;       5 ;      ;    ;4.8;      ;     AMA
 1921 ;    1; 16;  23;    55;  38.33 ;   32.79 ;   10;         ;   5.8;  w ;5.8;      ;   KOERI
 1921 ;    2;  5;  19;     9;  36.00 ;   35.50 ;     ;         ;   4.8;  S ;5.2;      ;      AA
 1921 ;    4; 13;   4;    54;  38.40 ;   31.80 ;   30;         ;   5.4;  w ;5.4;      ;   KOERI
 1921 ;    4; 20;  16;     4;  34.60 ;   34.00 ;     ;         ;   5.8;  w ;5.8;      ;     Pou
 1921 ;    9; 26;   9;    26;  38.42 ;   31.79 ;   10;         ;   5.5;  w ;5.5;      ;   KOERI
 1921 ;   10;  5;   6;     9;  36.40 ;   35.20 ;     ;         ;   5.1;  w ;5.1;      ;     Pou
 1921 ;   10;  5;  19;     9;  36.40 ;   35.20 ;   33;         ;   5.7;  w ;5.7;      ;     Pou
 1922 ;    2;  1;  16;    52;  38.00 ;   37.00 ;   30;         ;   5.5;  w ;5.5;      ;   KOERI
 1922 ;    4;  2;   0;    46;  34.73 ;   34.80 ;     ;         ;   5.7;  w ;5.7;      ;     Pou
